text,label
CREAMY BEEF CLS FTC,1
CLS CHK CHIL,1
POCAI BWG PUTIH,1
KRPU MCN TIM 700,1
ORIGINAL,2
Cappucino,0
EGG TART,1
GALBI TANG,1
Lumpia Udg K Th,1
RedVelvet Cheese Slc,1
SOSIS SOLO,1
YAKULT ISI 5 PCS,0
[MD] SOFT STEAMED CHEESEC,1
BURGER CHIC DECKER,1
PaulanerP1,0
FA-Polycello Bag 200 gr,2
Nasi Liwet,1
S/QUEEN MONTES 50,1
Organic Green Sa,1
GRILLED SALMON TERIYAK,1
Mun Tofu,1
TERONG BELANDA,0
Lychee/Peach/Lemon/Mango,0
NASI KUNING,1
PRAWN & SPINACH PASTA,1
Polo 1,2
PREMIUM TOAST PAN BREAD,1
Strawberry jc,0
steamed rice,1
LEMONADE,0
[MD] MINI CASTELLA ORIGIN,1
DarkBeer0.3L,0
CREAMCHEESE BREAD,1
INARI,1
Kopi Susu Sudirman,0
Extra Ice Cream,1
TATAKAN MANDI (JARING MANDI JALA) -,2
"ROTI ""0""",1
Mie Jumbo Pst/bakso,1
Sop Sui Jiao,1
YANG NYEOM SAM GYEOP SAL,1
df shllt by not250,1
Large 1,2
GONG GIBAB,1
WH3 M LW,2
Tahu Isi,1
Hot Chocolate Marshmallo,0
CKM 1 OR,1
RED BEAN BRAIDED BREAD,1
IKAN MALAS 650GR,1
BangBang Chick Wings,1
PREMIUM YANGNYEOM GALBISAL,1
S-KOI Cafe Macchiat,0
Cheezemania,1
UDG GR TLUR ASIN =*MEDIUM*=,1
chapsal twister donnut,1
Lurisia stille 330ml,0
R.PISANG COKLAT,1
DAUN SEREH,1
Dumpling,1
"0217 GGM 12"" TITAN HERO GAMORA",2
AMBUSH DBL CHS BURG,1
COKLAT KEJU,1
SALMON PESTO,1
FIXALL HK 26521,2
EL KEUN HWANGTAE,1
SHOPPING BAG,2
5003-Chokoreto Cookies,1
Tahu Ikan Oma Giok,1
SOP AYM BNG,1
Teh Tawar Hangat,0
DINE FOR 2,1
RTD Lemongrass Aloe,0
CHOCO CHIP,1
SPOOKY SOBORO,1
KOPI SUSU,0
Wagyu Rice Box,1
DADAR PISANG,1
PILOW DUR PX,1
NASI PUTIH,1
Milk Shake Coklat,0
Croque Mme.,1
NEW ORIENTAL CHK RICE,1
Ayam Garang Asem,1
I SPECIAL SBL MATAH,1
1001-Choco Bun,1
NASI BAKAR,1
Giant Squid,1
Grilled Dorry Fish,1
BOX T. O,2
mush pasta,1
REDBEAN BRE/D,1
PEDULI DISABILITAS,2
RAMEN AYAM SPECIAL,1
SPRITE,0
TIGER ROLL PTG,1
sun kissed (P),0
ES KOPI SOKLAT,0
RB. ABON AYAM,1
Lemon,1
MAKOLI,0
M-Konjac Milk Tea,0
Chili Pepper Croquette,1
CRANBERRY WALNUT (S),1
French Fries - DINE IN,1
"1216 GGM 12"" TTN HERO YONDU",2
CRISPY APPLE RAISIN PASTR,1
JAP CHAE,1
CHOCO CUSTARD PASTRY,1
OCHA,0
ICED MOCHA LATTE [R],0
SAUCE SHOYU SUSHI YAMASA HALAL,1
Mendoan,1
U SEOL,1
SOUR CREAM N ONION,1
Siomay Kmbinasi,1
KERUPUK KERING,1
Mantau - 3 pcs,1
Ice Tea Tawar,0
Chicken Popcorn,1
Cafe Latte,0
Bakpao telur asin,1
R.BANA CHIP,1
Rice Organik,1
NUMER CANDLE NO.1,2
MINERALWATER,0
Sabun Transparant Madu,2
PAKET CHICKEN 3,1
GRILLED BABY POTATO ( R,1
ALMOND CREAM CHEESE,1
SOGOGI JAPCHAE,1
Bakmi Ultah,1
CEKER AYAM,1
Ice Kopi,0
kaya bred,1
K.Chees Chic RC,1
ABURA SOBA CHK,1
Ayam Penyet Sambal Glede,1
BASO TAHU BIHUN,1
Ayam Pop,1
Pangsit Delima,1
3180-Soes Marmer,1
Hot Cappuccino,0
ES ILAT BOYO,0
CHOCO CUSTAF D PASTRY,1
Nasi Tambah,1
Bakso Lobster,1
1066-Choconut Bun,1
Lemon Tea,0
Mango Float,0
Bento Barbeque,1
CHO MOUSSE,1
COLD OCHA,0
Free Ice Tea,0
Se'I Sapi Lada Hitam (J),1
Gojek Chicken Chilli Sauce H,1
CUMI GR JUNJAN =*MEDIUM*=,1
KERTAS KADO 1500,2
Soup Patin,1
TEH MANIS,0
SANGU TIMBEL KOMPLIT,1
KRN FRIED CHICKN HNY,1
4003-Blueberry Fuji,1
Chicken Karamiso Special,1
Crab Stick,1
ES BUAH,0
ICE GREENTEA,0
MIKA KCL,2
KING DEAL CHEESE BURGER R,1
Lamien Udang T,1
I TRIPL CHZ,1
Mushroom Soup,1
DOUBLE CHEESE PAN BREAD(L,1
GORENGAN,1
CHILLY N'CHEESE,1
1004-Smoked Cheese & Mushroom,1
C.KATSU NOODLE HP,1
TEH HANGAT,0
Pillow Kombi,1
Krupuk Babi Bungkus,1
SWEEAT ICE TEA,0
Silky Hazelnut,0
FL Mille Crepes -,1
PKT MIE LELEH,1
SAPO TH SEAFOOD,1
Kuah Kaldu Ayam,1
SUPER CHEESE,1
ICE BLACKCOFFE,0
GOCUJANG H.200G,1
MASHED POTATO,1
AYAM POP,1
Teh Pucuk 350 ml,0
BCA PROMO,2
Strawberry Log Cake,1
GoFood Beragam - ICE LAT TE,0
GREEN ITSODA PITCHER,0
Chicken Herb Crust,1
DECOLGEN TABLET 4S,2
CHOCO PUFF,1
TAHU DOMBA MEMBARA,1
Bintang Bremer,0
S-Bubble Milk Tea,0
Iced Tea,0
CUSTARD BRIOCHE,1
PUDING,1
CT06.TEA 0 ICE R.,0
AQUA,0
TEH SEREH,0
MIKA SEDANG,2
1037-ROTI MAHKOTA/RING,1
Serbu 1,2
<FC Winger HC,1
-Corn Flakes Cookies,1
DONAT AYAM,1
7 UP CAN 330 ML,0
TIMUN JEPANG,1
Angus Striploin,1
F.FRIES MEDIUM,1
IVINERAL WATER (bundling) 5k,0
Bbq Bento,1
SALAD DRESSING THOUSAND ISLAND,1
Lemon Tea (L).,0
Ice Tea,0
RB. CREPES TUNA,1
Home Made Lemonade,0
Kupon 1,2
CHOCOLATE SOBORO,1
[MD] SOFT STEAMED CHOCOCAKE,1
Kupon 7,2
CHINESE TEA KWAN'IM,0
KP BRANDING S,2
Teh Es,0
LAPIS SINGAPUR,1
BUBUR UNGU,1
CHEESE BUN,1
KENTHIR 2,1
Salmon Seaweed Bowl,1
TEH,0
NOUGAT ICE CREAM,1
Nerds Strw Grape,1
RICE CASE 7L W/CUP,2
Large *Plastik Kcl,2
WHDP JR 15K,1
hot lemon tea,0
DONATCOKLAT,1
Benedict Burrito,1
Lemon Plate,1
Toripaitan shoyu telur,1
BAKSO BNGKS,1
Pocky Chocolate,1
Sorbet,1
SOTO MEDAN+NASI,1
BUDS PRECIOUS NEWBORN HEAD TO TOE CLEANSER 250ML(TOILETRIES),2
NASI(GONGGI BAB),1
SIRSAK,1
Jamur Kuping,1
F Squeeze Orange,0
ES TEH TAW GUILINGGAO,0
FlyDark 0.3,0
Nasi Goreng Buntut,1
Lasagna Di Carne,1
IKAN GURAME MED SOP IKAN,1
CHARGE TA,2
BIHUN GORENG JJ,1
S-Hazelnut Milk Tea,0
GREEN TEA WITH CRUMBLE,0
Teh Tawar Panas,0
[LG] BLACK SAKURA,1
PASTELGORENG,1
MEDIUM FRIES,1
SANGU TUTUG ONCOM,1
PAKET WEEKEND 1,1
Combo 2,1
1 PC CHOCHICKS,1
Pocai 3 Telor M,1
SAMBEL TOMAT SEG,1
Lov Triangle,1
Populaire Chocolate,1
I13.SIMANGOSONG,1
Sirloin Roll Enoki,1
HAI CMP SPC,1
IKAN GURAME REG,1
1019-Choco Banana,1
Lidah Asap Sambal Lu'at ( R ),1
ORIGINAL COMBO,1
AMBUSH DBL CHS,1
Earl Gray Tea,0
BOLU KUKUS PX,1
YAMIN BASO SAPI,1
TEH KOTAK,0
AIR MINERAL,0
MIE KOCOK,1
AMBUSH CHS BURGER,1
EARL GREY MILK TEA,0
LIMAU KASTURI,0
HAM CHEESE FLAT BREAD,1
SPGTHY BOLOGNASE,1
JABCHAE BEEF,1
LAPIS SURABAYA PTG,1
REAL CHEESE INSIDE BREAD,1
SOTO KUDUS,1
BENTO CHICKEN TERIYAKI,1
Mineral Cup,0
1009-ROTI KELAPA,1
LM Pork Belly,1
CRYSANTNUM,0
NASI CAH JAMUR,1
BACON SHIMEJI SPAGHE,1
ORANGE JUICE,0
FUSION TEA LYCHE,0
Sapo Tohu Sea M,1
NASI GORENG NJUN,1
THAI ICED COFFEE,0
Nasi Ayam Dewata,1
LYCHEE ICE TEA,0
KWE BUN SAPI,1
THAI ICETEA,0
Tahu Bacem,1
Bakmie Pst/ Bakso,1
WAKI PLATTER FOR 4-5,1
TWIST ORANGE CHOCO DONUT,1
"Oriental ""Ketjap"" Pork Rice",1
beef C roll 3pcs,1
Nasi Campur ala Bali,1
Ikan Bawal Besa,1
CUSTARD BRIC CHE,1
Tahu Woku,1
SPICY C CHEESE,1
CRISPY REAL CHEESE,1
GIANT FCL TISSUE,2
MANGO GT (L),0
Nasi Campur Bali,1
SUP JGG KPT,1
EGG TEMPURA,1
Emily's Shrimp Scampi Fettucine,1
MIKA BESAR,2
=*LARGE*==,2
ICED NUTELLA LATTE [R],0
TRIPPLE CHEESE,1
Es Cincau,0
KALBI PLATTER 2-3,1
HOT OCHA,0
JUICE ALPUKAT,0
Sambal Kecil,1
P. RIBS SP (R),1
ZUPPA SOUP,1
BIHUN MASAK KUAH,1
Capcai Seafood,1
PR ORIGINAL 150gr,1
HAZELNUT,1
(TA) NASI GORENG,1
Mineral water (s),0
AYM RBS 1 EKOR,1
YIFUMI,1
Equil Natural,0
REGULAR COKE,0
CREAMCHEESE WALNUT BREAD,1
PEACH PASTRY,1
Teh Manis,0
BEEF CURRY UDON,1
TAKE AWAY,2
Maling,1
fettucine Hubert chicken capers,1
(TA) NASI GRG TERI MEDAN,1
REAL HONEY PANCAKE BREAD,1
Chicken Kazan Curry,1
Ns Pgng Kj Sp,1
RTD Madu Aloevera,0
Kupon 9,2
SENDOK MAKAN,2
ROTI UNYIL,1
EDAMAME,1
DELFI C/CHA MINIS,1
BROWN SAUCE,1
Original Hugarian Ku,1
REGAL MARIE 125 GR,1
Nasi Goreng,1
NEW BEEF LASAGNA,1
1/2 Baso Sapi,1
KWETIAW GORENG SAPI,1
Udang Telur Asin - Regular,1
MPEKMPEK LENJER,1
Chicken Cesar Salad,1
The Roselle,0
OPEN KITCHEN,2
Udang Gandum L,1
Jus Jeruk,0
Robert Olio Mushroom Spaghetti,1
CAPPUCCINO,0
Cuci,2
Ash Chick Sambal Matah,1
CHIC NAMBAN BENTO,1
Extra Jelly Lychee.,1
500 days of summer (P),0
GYU MOZZA DON,1
Nerds Watermelon,1
QUARTO FORMANGGI PASTA,1
Sprite (L).,0
GRAPE JELLY,1
ROYAL CHEESE TART,1
TOBIKO TOFU,1
YAKI ADULT,1
WALL'S BABY SHARK 60,1
Fanta Strwbry (L),0
XLB Org Pork 10x,1
ICED HIBISCUS LYCHEE TEA,0
KFC Winger HC,1
Kimchi P,1
Pork Belly Cheese Fries,1
RE5 M LW,2
Buruno Gr IN,1
GARPU MAKAN,2
GANACHE MOUSSE PIECE,1
NASI RAMES,1
Fish n Chips,1
DYNAMITE SCALLOP,1
SUL LUNG TANG,1
SAUSAGE PASTRY ROLL,1
TEH MANIS PANAS,0
KWETIAW SIRAM SAPI,1
TAHU LAMPION,1
CENTIKPLANCI,1
1517-ROTI KENTANG KEJU MANIS,1
JYO HARAMI 30%,1
OREO GREEN TEA SPREAD,1
DODOT CUCU COKLAT,0
AMANDEL BROOD,1
M/POKO STD XXL5,2
CUMI GR TEPUNG,1
=*MEDIUM*=,2
Ice Tea Rasp,0
"Chicken HCC, 1Pcs",1
JAPANEESE GR TEA HOT,0
MINUMAN KEMASAN/REFILL,0
Premier Mineral Water (L t1),0
Roast Beef Crepes,1
SAMGYOPSAL,1
Mgc Chees Wd,1
TUTUP SEAL,2
Thai Coffee ICE,0
Otak-otak Singapore,1
UDANG REBUS (M),1
Choco Bun,1
BUDS PRECIOUS NEWBORN CREAM 75ML(TOILETRIES),2
SUSHI SALMON,1
GOLIA ACTIV PLS 4,1
TP KULIT,1
SAKATONIK LVR 10S,2
CK.MANTAP A,1
Empal,1
TLJ HOTDOG,1
Creamed Spinach,1
PKT AYAM,1
KAKIAGE TEMPURA,1
SURIMI,1
MIE CINCANG,1
AQUA 600ML,0
MPEKMPEK K SELAM,1
Kwt Polos Mdn,1
A.MINERAL GELAS,0
Butter Cheese Corn,1
TALKING ACTIVITY BK,2
Nasi Goreng Gila,1
Plastik Amook,2
CROQUE MONSIEUR,1
BAJU ATASAN(PETITE MIMI ROMPER 3D FOREST / RM0003),2
CF BUNCIS ORG,1
MIE GORENG SPECIAL,1
Pecel Komplit + Nasi,1
MANDARIN CAKE PTG,1
TEH TELUR,0
THAI ICED TEA,0
Lychee Float,0
SUNKIST,0
UDANG RE,1
P J Cotes du,0
(TA) KWETIAW SEAFOOD SIRAM,1
Nats Bitter Choco cake,1
Green Tea cold,0
3001-Sakura Mochi,1
KrpBangka/Bawang,1
PAHA BAWAH,1
Rice,1
ES TEH/TAWAR,0
Extra Jelly Lychee,1
Combo 4,1
Mocha,0
Enting2 Dua Bandeng Ori,1
[MD] SOFT STEAMED CHOCOCA,1
Paru Babi,1
Tempe,1
Oolong Jasmine Cup,0
CH CORDON BLEU NASI,1
DUA BELIBIS SBL135,1
red curry beef,1
AQUA BOTTLE,0
GULAI OTAK,1
CHIKEN KATSU FF,1
FROZEN CAPUCINO,0
Common Law,2
JPR SUS U,1
1245-PLASTIK TENTENGAN KECIL,2
TOGE LAUK ASIN,1
Red Velvet S,1
MED ICED LEMON TEA,0
Ptgs Eggtart,1
NS+AYAM GR TPG,1
PILLOW DURIA,1
GULAI HATI,1
Telur Dadar,1
CUP 14 OZ,2
Bakmi Ayam Spc Ng,1
Salmon,1
AYAM,1
Pecel Pincuk,1
LIPTON PITCHER,0
EL KEUN HWANGTAE SUNDUBU (TUKBEGI),1
Sundae,1
KOL GORENG,1
Nutella Cheese,1
Goblin's Mace,2
Ayam Grg Kalasan,1
CHOCO BANANA,1
Heavy alvin potato,1
ES KOPI SUSU,0
Bakso Ikan,1
Silky Green Tea,0
Canele (Mini),1
HYDROCOCO 250ML,0
Nasi,1
1 PC BIC,1
Nasi Goreng Ayam,1
DF Fish Fillet Garlc,1
Peyek Parcel,1
NOIR PIZZA BREAD,1
1023-Chocochip & Walnut,1
WELL CHICKEN KATSU C,1
caisim special,1
HZ CHOCO MT (L) TOPPING,0
ROBA - SPICY KAWA SKEWER KULIT,1
FOOT 6,2
HAZELNUT ALM,1
Pavarotti,2
CHOCBAN CUP,1
ICED White,0
Rock salt and Cheese [R] Coffee,0
APPLE CREAMCHEESE PASTRY,1
GREEN BEAN KAKIAGE,1
Spaghetti Deluxe,1
GARISH PC,2
Mike & Berry,0
BLUS WANITA,2
Cheese Tart Original,1
CHOC BANANA,1
JapaneseBeef Hamburg,1
Mexican Baked Rice,1
CUMI BANGKA,1
TWIST STRAWBERRY DONUT,1
EBI KTSU 1 PCS,1
POCAI 3,1
Astor Stick Cokelat 40gr,1
LAY'S NORI SEAWD 55G,1
Lychee Tea,0
Sweet Tea,0
Hatosi Rambutan,1
"Bakery Aneka Sisir Banana,Pizza,yoko,Mar mer,Daging,abon,keju,cokelat,dll",1
WHITE RICE,1
TAMAGO,1
Tahu Jepang,1
Grill Sea Bass,1
Y.BASO PROM,1
AREM - AREM,1
AYAM PENYET,1
MACARONI,1
PLASTIK TENTENG,2
TEH PUCUK,0
AGSIO TH PC JMR =*MEDIUM*=,1
4002-Chocolate Orange Peel,1
Carsiupau Ayam,1
PAKET WEEKEND 2,1
1032-Double Cheddar,1
Samabal SP,1
Fruit Compliment,1
AYAM GORENG,1
SUNDUBU(TUKBEGI) CHAM KKOT SAL,1
GULAI TUNJANG,1
PAIN AU CAFE MOCHA,1
RTD Kunyit,0
Tuna N Chicken Floos Bread,1
BANANA SPLIT,1
SC/R GRILLED STEAK,1
TEH JAWA,0
Lumpia Klt Tahu (3),1
Pillow Cheese,1
ES THE TAWAR,0
Fish Ball,1
ICED TEA,0
Paddle Pop Choco Magma,1
CARBONARA UDON,1
SUSHI SALMON FRESH PAKET,1
Kwetiaw Ayam Jamur,1
XLB Org Pork 6x,1
GREEN MONSIEUR,1
CAKWE,1
Popcorn Salt (M),1
Lapolong,1
ROLL-IT PIZZA BREAD,1
TEH TELOR,0
Sambal Besar,1
CHOCO ALMOND,1
TakeAway Charge,2
Mie Sup WT (U & A),1
TAHU JPG S TRM,1
Milo,0
S-Fresh Lemon Lime,0
1006-Roti Molen,1
PISANG KEJU,1
CHOCOLATE ICE CREAM,1
Soto Daging,1
Choco Lining Bread,1
Salad Deluxe,1
Iced Sugar Cane,0
Leng Hong Kien,1
Blend GT (M),0
LOYALTY PROGRAM,2
SB SIZE 45.5,2
Ayam goreng+Sayur asem,1
MIE + AYAM KATSU TERI...,1
Ikan Gurame Tahu M,1
Tonic Water,0
French Fries,1
CHOCO DONUT PRETZEL,1
ateh Tawar ateh Tawar,0
OGYOPSAL,1
ACCESORIES(SUN BABES PENUTUP MATA),2
Dom Cha Vire Sls,0
JOIE KUBBIE(BABY BOX),2
Nasgor Jawa,1
Air Mineral,0
3190-Disney Taartjes Siram Coklat,1
LIPTON ICE TEA REGULA,0
A.MINERAL BOTOL,0
KUE CUBIT OVO/ SKIPPY,1
PLASTIK TENTENG KECIL,2
ROTI,1
Cheong Fen Udg,1
PAKET BULGOGI 3,1
DE13.PSANG IJO MDM,1
SIOMAY,1
KUPAT TAHU,1
GRILLED BABY POTATO (R,1
TEH TARIK P,0
BUDS CALMING TUMMY RUB CREAM 30ML(TOILETRIES),2
2001-Hokkaido Milk Toast,1
RTD Relaxing Drink,0
WHITE CHOCO BANANA SPREAD,1
WARISAN 2 FREE DRINK,0
MOCA FLT OVLTIN,0
MILK PASTRY ROLL,1
UP Orange 16,0
TAIL STOMACH (S),1
(TW)NASI GORENG,1
NS+AYAM GR RICA,1
H N Cheesy Chic,1
Cheese Burger,1
Tempe Bacem,1
SBL GR TERI,1
SBL GR ATI/AMPLA,1
CHINESE TE,0
TAHU BAKSO Grg Ayam VC [biji,1
M02.LMK BEEF RNDANG,1
PAKET DOSIRAK 3,1
MARBLED SIRLOIN STEAK 200gr,1
ICED GT,0
OCHA DINGIN,0
SHOPPING BAG ROTI'O' 370/,2
ORIGINAL BREWED TEA,0
XXI Java Tea Spc,0
NEW BEEF SPAGHETTI,1
Kue Macok,1
109.NG NANAS,1
Kepiting 7-8.4ons - Chilly 0.7 1,1
CHULPAN CHEESE DAK GALBI,1
BUBUR GO,1
MDSE ST,2
AQUA BOTOL,0
DENDENG,1
ROTI SISIR,1
SCREAMING RED BEAN,1
SEAFOOD MARINARA,1
Box Bakmie (M),1
BAKWAN JAGUNG,1
ICE COFFE MIX,0
SKEWERED SHUMAI,1
Bihun Goreng,1
Omurice Katsu Curry,1
CARAMEL PASTRY,1
BROWNIE,1
PLASTIK SEDANG,2
CK Redvelvet,1
ISI CAMPUR,1
SUNDUBU,1
S-Ovaltine Macchiat,0
Mineral Water (S).,0
Green Tea ICE,0
Hot Tea,0
KOPI HITAM,0
[RICHE] BLACK SAKURA,1
Mango Lemon Tea,0
I ROA GORENG SPC,1
Teh Tawar,0
CF NASI PUTIH,1
NS BISTIK AYM TP,1
Nasi Goreng Samb,1
SAYUR,1
AYAM GR KERING,1
MARMER CAKE PTG,1
Mie Gr Udg Gala,1
Jamur Goreng,1
RB. AI-AI CHOCO,1
Spaghetti Bini Muda (Bol ognese) - DINE IN,1
Ayam Bakar,1
PAKET SUPER MANTAP 2A RAACHA,1
Pillow Choco,1
Nasi Rawon,1
Bola Ubi Mini Original (14 Pcs ),1
Ayam Sambal Hija,1
OREO MILK BLEND,0
AOP Seafood,1
BANANA KISMIS,1
Pancake Durian,1
LUMPIA UDANG,1
BBQ Chicken,1
MULNAENGMYON,1
TEH TAWAR,0
BIHUN GORENG SPECIAL,1
Pandan Cream brulee,1
ABURA UDON (ORIGINAL),1
OCHA COLD,0
CT12.BLK JELY KPI IC,0
Chicken Steak,1
MULNAENGMYO N,1
LS TOILETBRUSH102,2
FRENCH FRIES,1
NASI LIWET (SATE BUNTEL AYAM),1
QTELA KRP/TMPE ORI55,1
PLAIN CONGEE,1
AYAM BAKAR,1
RB. COKLAT BUN,1
MUF CHOC CHP,1
Mineral Water - DINE IN,0
POTATO SAUSAGE BREAD,1
JAJANGMYEON,1
NASI GORENG SPECIAL,1
SB 1 OR,2
ORIGINAL NO SALT,1
DarkBeer0.5L,0
Udon,1
YUKHWE,1
CHICKEN KATSU CURRY UDON,1
CALAMARI KATSU,1
NUTTELA BROWNIES,1
Chicken Maryland,1
MILK CREAM BREAD,1
COCA COLA,0
PUCUK/H TEH L/SGR350,0
#F11 CREAM HAMBURG 0,1
Brokoli Bwg Putih,1
KUE PILUS ASIN,1
SENDOK DAN GARPU PLASTIK,2
Ice Orange,0
Es Teh Tawar,0
Bihun Ayam Jamur,1
TEH PANAS,0
WALL'S FEAST VNILA65,1
Ngohiong,1
Chocolate Log Cake,1
S-Matcha Macchiato,0
Arem Arem,1
SATE ATI GO,1
Tahu Telor Asin,1
POCAI 3 TELUR,1
NASI GORENG SPC,1
PAKET BER2 UP1,1
Udang Mentega Sdg (M,1
RICE,1
BLACK PAPPER MEATBALL PAS,1
CHICKEN KATSU,1
garlic pepper beef,1
CREAMY CHK CLS FTC,1
Caisim Kecil,1
P/P AMERICAN FAV,1
*PlastiK Kcl,2
FRANKFRUT S/USAGE ROLL,1
WHOP JR 15K,1
House Blend,0
Pangsit Special,1
CAPPUCINO BLEND,0
Tahu Bakso,1
MS SWISS ML MED,1
SIAO MAI BABI,1
Banana Milkshake,0
UP Drink 16,0
Viet Milk Coffee,0
Pdg Madness,1
PLASTIC BAG,2
WHOLE WHEAT PAN BREAD,1
Chokocha Flt,0
KOROKE ORI,1
CHEESE B,1
APPLE PIE,1
Perkedel,1
BULGOGI JEONGSIK,1
PKT LELEH AYM GEPRK,1
BOLU HAWAI PTNG,1
TWIST DONUT,1
Mini Chocolate Donut,1
4032-Mini Glazed Croissant (isi 5 pcs),1
SB 1 HC,2
1022-ROTI KACANG MERAH,1
SAM DA S00 MINERAL WATER,0
ES JERUK,0
1pc Chicken OR,1
Sambel Kecap,1
NICE TRAVEL PACK,2
NB AYAM,1
6002-Plastic Bag Medium,2
Chicken H-H,1
CUSTARD SOB RO,1
Mie Trsi Kgkung,1
Choco Melt,1
P. INTESTINE (R),1
LEMPER,1
Lemon Jc,0
BLACK CHEESE HOTDOG,1
M-Ovaltine Macchiat,0
NASI LIWET,1
Ades,0
Chocolate Twist,1
1244-PLASTIK TENTENGAN SEDANG,2
ELEPHANT READ BEAN,1
Bakso Campur,1
Teppan Seafood Fr Rc,1
1069-ROTI KEJU COKLAT,1
phad thai,1
ES TEH MANIS,0
MilkShake Starwb,0
Es Kopi Susu Pandan,0
escargot florentine,1
LARGE ICED LEMON TEA,0
LUMPIA UDG PREM,1
DIMSUM,1
SHARKIE FREEZE,0
TROPICAL PUNCH,0
Topping Milo Sparkle (untuk 1 Po rsi),1
BLACK PRAWN PASTA,1
JERUK NIPIS,0
Plastic Bag Small,2
ROTI KEJU COKLAT,1
REGULAR FRIES,1
TAHU GORENG,1
MOMO,1
BLACKPINK,0
KOREAN LEMONADE,0
3025-BOLU GULUNG MOCCA PTG,1
Milo Dino,0
1001-ROTI COKLAT,1
WAGYU RIBEYE,1
BIHUN GORENG JJ =*MEDIUM*=,1
K11 CHOCO 1217,1
CAPTAIN HOOK,1
CIPAIN PATCH 4S,2
Caramel Small,0
IKAN GABUS FRESH,1
ROTI MAHKOTA/RING,1
Go Hiong,1
Full Box,2
ICED LEMON TEA,0
BANANA DONUT,1
Ayam Goreng Crispy Spicy,1
Chocochip & Walnut,1
KOROKE CURRY,1
Fanta Stwbry (L),0
Box Yi Fu Mie (L),1
MINERAL WATER,0
cashew nuts chkn,1
1 BIC ALA CARTE,1
CHAPJEA,1
CHOCOLATE MILK SHAKE,0
LALAP SEGAR,1
MOZZARELA STICK,1
SC/P SUPER SUPREME,1
LUNCH BOX 3P SET W/RED BAG & SP00 N.,2
CREAM TEOK PO KI,1
FF SoftDrink (M),0
Valdostana,1
Mike & Ike Original,1
RED VELVET,1
1057-French Bread Puding,1
Cream Soup,1
KaraageCurryTeishoku,1
MOKDENGSIM,1
Iced Coffee Latte,0
TOBIKKO ORANGE,1
AGSIO TH PC JMR,1
TLJ SPANISH COFFEE,0
POTATO PEPPER BAGEL,1
PAJON,1
5001-Corn Flakes Cookies,1
HAKAU UDANG,1
OCHA HANGAT,0
BASO KUAH,1
Lasagna,1
Y.B.BAT,1
KAYA BUN,1
Chicken Vege Rice Bowl,1
TERONG,1
LUNCH BOX 3P SET W/BLACK BAG & SP OON,2
Ayam Asam Manis M,1
BASO TAHU,1
Mineral Water 600 ml,0
KING DEAL FISH,1
NS FILET IKN ASM MNS,1
SALTED EGG FISH & CHIPS,1
TEA TAWAR,0
Se'i Sapi Sambal Lu'at (R),1
Iced Sleepy Coffee,0
Seafood Tempura BBQ,1
CHEESE KC BOKUMBAP,1
CABE KERITING CURA,1
DL+GA+FF+R+2RB,1
GADO-GADO,1
